,folder_name,Scan_ID,percent_vertical_cover,num_trees,understory_count,midstory_count,overstory_count,understory_percent,midstory_percent,overstory_percent,basal_area_m,max_canopy_height_m
161,05_14_2025,05_14_2025_Setup5,0.51459144,3,568024,330386,934480,0.309906214,0.180254134,0.509839652,7.203841538,24.721
162,05_14_2025,05_14_2025_Setup6,0.650580447,4,623911,164083,983674,0.352160224,0.092614982,0.555224794,9.208141174,26.975
163,05_14_2025,05_14_2025_Setup7,0.724878049,6,311609,413050,1187586,0.162954538,0.216002657,0.621042806,11.37376674,26.022
164,05_14_2025,05_14_2025_Setup8,0.946599844,9,948801,1162259,2405932,0.210051512,0.257308182,0.532640306,9.413935747,26.981
165,05_14_2025,05_14_2025_Setup9,0.569915481,5,672485,185884,1023447,0.357359593,0.098779052,0.543861355,10.50654217,27.353
166,05_15_2025,05_15_2025_Setup1,0.265469062,1,1264300,85780,908592,0.559753696,0.037978069,0.402268235,4.108476514,21.883
167,05_15_2025,05_15_2025_Setup10,0.338934815,1,574514,138184,1017863,0.331981363,0.079849251,0.588169386,3.158147302,20.667
168,05_15_2025,05_15_2025_Setup11,0.42736009,3,487130,115607,515589,0.435588549,0.103375044,0.461036406,10.58783192,23.805
169,05_15_2025,05_15_2025_Setup2,0.38005277,2,761507,371357,595002,0.440721098,0.214922338,0.344356565,8.661339849,22.352
170,05_15_2025,05_15_2025_Setup3,0.380486036,3,369407,102707,744658,0.303595908,0.084409405,0.611994688,5.466949085,22.727
171,05_15_2025,05_15_2025_Setup4,0.25045251,0,734098,192992,235332,0.631524524,0.166025763,0.202449713,0,0
172,05_15_2025,05_15_2025_Setup5,0.519261799,3,393944,109809,929795,0.274803495,0.076599458,0.648597047,11.10554226,22.727
173,05_15_2025,05_15_2025_Setup6,0.91283137,1,1726857,2271703,1744984,0.300660533,0.395522869,0.303816598,1.686467504,15.729
174,05_15_2025,05_15_2025_Setup7,0.526311023,0,1273248,2486129,294235,0.31410209,0.613312029,0.072585881,0,0
175,05_15_2025,05_15_2025_Setup8,0.317177067,1,458836,278274,1102554,0.249412936,0.151263492,0.599323572,2.492731981,25.547
